generation,parental_effects,parental_temp,parental_diet,replicate_vial,male_id,date,time_in,start_mating,end_mating,mated,latency_to_mate,mating_duration
F3,mat,21,0.4,a,1,6/08/2019,9:04,9:59,10:27,yes,55,28
F3,mat,21,0.4,b,2,6/08/2019,9:04,9:13,9:34,yes,9,21
F3,mat,21,0.4,a,3,6/08/2019,9:04,,,no,,
F3,mat,21,0.4,b,4,6/08/2019,9:04,9:30,9:46,yes,26,16
F3,mat,21,0.4,a,5,6/08/2019,9:04,11:50,12:10,yes,166,20
F3,mat,21,0.4,b,6,6/08/2019,9:04,,,no,,
F3,mat,21,0.4,a,7,6/08/2019,9:04,9:12,9:28,yes,8,16
F3,mat,21,0.4,b,8,6/08/2019,9:03,9:25,9:38,yes,22,13
F3,mat,21,0.4,a,9,6/08/2019,9:03,9:15,9:29,yes,12,14
F3,mat,21,0.4,b,10,6/08/2019,10:15,11:27,11:44,yes,72,17
F3,mat,21,0.4,a,11,6/08/2019,9:03,,,no,,
F3,mat,21,0.4,b,12,6/08/2019,9:03,9:50,10:17,yes,47,27
F3,mat,21,0.4,a,13,6/08/2019,9:03,,,no,,
F3,mat,21,0.4,b,14,6/08/2019,9:03,10:25,10:49,yes,82,24
F3,mat,21,1.5,a,1,6/08/2019,9:24,10:18,10:40,yes,54,22
F3,mat,21,1.5,b,2,6/08/2019,9:24,9:35,9:54,yes,11,19
F3,mat,21,1.5,a,3,6/08/2019,9:24,9:27,9:54,yes,3,27
F3,mat,21,1.5,b,4,6/08/2019,9:24,9:46,10:04,yes,22,18
F3,mat,21,1.5,a,5,6/08/2019,9:24,10:31,10:49,yes,67,18
F3,mat,21,1.5,b,6,6/08/2019,9:25,9:42,10:02,yes,17,20
F3,mat,21,1.5,a,7,6/08/2019,9:25,9:43,10:02,yes,18,19
F3,mat,21,1.5,b,8,6/08/2019,9:25,9:51,10:11,yes,26,20
F3,mat,21,1.5,a,9,6/08/2019,9:25,10:18,10:40,yes,53,22
F3,mat,21,1.5,b,10,6/08/2019,9:25,9:51,10:13,yes,26,22
F3,mat,21,1.5,a,11,6/08/2019,9:25,11:42,12:00,yes,137,18
F3,mat,21,1.5,b,12,6/08/2019,9:25,10:08,10:26,yes,43,18
F3,mat,21,1.5,a,13,6/08/2019,9:25,9:38,9:59,yes,13,21
F3,mat,21,1.5,b,14,6/08/2019,9:25,10:26,10:47,yes,61,21
F3,mat,25,0.4,a,1,6/08/2019,9:18,10:15,10:34,yes,57,19
F3,mat,25,0.4,b,2,6/08/2019,9:18,,,no,,
F3,mat,25,0.4,a,3,6/08/2019,9:18,9:58,10:17,yes,40,19
F3,mat,25,0.4,b,4,6/08/2019,9:18,10:06,10:30,yes,48,24
F3,mat,25,0.4,a,5,6/08/2019,9:18,,,no,,
F3,mat,25,0.4,b,6,6/08/2019,9:18,10:54,11:13,yes,96,19
F3,mat,25,0.4,a,7,6/08/2019,9:18,9:39,9:59,yes,21,20
F3,mat,25,0.4,b,8,6/08/2019,9:21,9:38,9:58,yes,17,20
F3,mat,25,0.4,a,9,6/08/2019,9:21,10:34,10:55,yes,73,21
F3,mat,25,0.4,b,10,6/08/2019,9:21,9:46,10:10,yes,25,24
F3,mat,25,0.4,a,11,6/08/2019,9:21,9:49,10:16,yes,28,27
F3,mat,25,0.4,b,12,6/08/2019,9:21,10:16,10:31,yes,55,15
F3,mat,25,0.4,a,13,6/08/2019,9:21,9:38,9:53,yes,17,15
F3,mat,25,0.4,b,14,6/08/2019,9:21,10:30,10:52,yes,69,22
F3,mat,25,1.5,a,1,6/08/2019,9:14,,,no,,
F3,mat,25,1.5,b,2,6/08/2019,9:14,9:36,9:59,yes,22,23
F3,mat,25,1.5,a,3,6/08/2019,9:14,9:59,10:20,yes,45,21
F3,mat,25,1.5,b,4,6/08/2019,9:14,9:30,9:45,yes,16,15
F3,mat,25,1.5,a,5,6/08/2019,9:59,10:36,11:02,yes,37,26
F3,mat,25,1.5,b,6,6/08/2019,9:14,,,no,,
F3,mat,25,1.5,a,7,6/08/2019,9:14,11:55,12:15,yes,161,20
F3,mat,25,1.5,b,8,6/08/2019,8:58,,,no,,
F3,mat,25,1.5,a,9,6/08/2019,9:17,10:40,11:01,yes,83,21
F3,mat,25,1.5,b,10,6/08/2019,9:17,10:10,10:31,yes,53,21
F3,mat,25,1.5,a,11,6/08/2019,9:17,9:37,9:59,yes,20,22
F3,mat,25,1.5,b,12,6/08/2019,9:17,,,no,,
F3,mat,25,1.5,a,13,6/08/2019,9:17,9:43,10:10,yes,26,27
F3,mat,25,1.5,b,14,6/08/2019,9:17,9:34,9:54,yes,17,20
F3,mat,29,0.4,a,1,6/08/2019,9:14,9:44,10:01,yes,30,17
F3,mat,29,0.4,b,2,6/08/2019,9:14,9:37,9:59,yes,23,22
F3,mat,29,0.4,a,3,6/08/2019,9:14,9:36,10:57,yes,22,81
F3,mat,29,0.4,b,4,6/08/2019,9:14,9:49,10:17,yes,35,28
F3,mat,29,0.4,a,5,6/08/2019,9:14,10:01,10:20,yes,47,19
F3,mat,29,0.4,b,6,6/08/2019,9:14,9:52,10:17,yes,38,25
F3,mat,29,0.4,a,7,6/08/2019,9:14,9:30,9:49,yes,16,19
F3,mat,29,0.4,b,8,6/08/2019,9:07,9:26,9:42,yes,19,16
F3,mat,29,0.4,a,9,6/08/2019,9:07,9:20,9:36,yes,13,16
F3,mat,29,0.4,b,10,6/08/2019,9:07,,,no,,
F3,mat,29,0.4,a,11,6/08/2019,9:07,10:03,10:27,yes,56,24
F3,mat,29,0.4,b,12,6/08/2019,9:07,,,no,,
F3,mat,29,0.4,a,13,6/08/2019,9:07,9:26,9:36,yes,19,10
F3,mat,29,0.4,b,14,6/08/2019,9:07,9:30,9:46,yes,23,16
F3,mat,29,1.5,a,1,6/08/2019,8:55,10:10,10:34,yes,75,24
F3,mat,29,1.5,b,2,6/08/2019,8:55,9:09,9:31,yes,14,22
F3,mat,29,1.5,a,3,6/08/2019,8:55,9:07,9:31,yes,12,24
F3,mat,29,1.5,b,4,6/08/2019,8:55,9:07,9:26,yes,12,19
F3,mat,29,1.5,a,5,6/08/2019,8:55,9:32,9:50,yes,37,18
F3,mat,29,1.5,b,6,6/08/2019,8:55,9:42,10:04,yes,47,22
F3,mat,29,1.5,a,7,6/08/2019,8:55,9:07,9:31,yes,12,24
F3,mat,29,1.5,b,8,6/08/2019,8:55,9:11,9:23,yes,16,12
F3,mat,29,1.5,a,9,6/08/2019,8:55,10:08,10:29,yes,73,21
F3,mat,29,1.5,b,10,6/08/2019,8:55,9:07,9:27,yes,12,20
F3,mat,29,1.5,a,11,6/08/2019,8:55,9:47,10:00,yes,52,13
F3,mat,29,1.5,b,12,6/08/2019,8:55,9:07,9:29,yes,12,22
F3,mat,29,1.5,a,13,6/08/2019,8:55,10:30,10:50,yes,95,20
F3,mat,29,1.5,b,14,6/08/2019,8:55,9:23,9:41,yes,28,18
F3,pat,21,0.4,a,1,6/08/2019,9:31,10:01,10:23,yes,30,22
F3,pat,21,0.4,b,2,6/08/2019,9:31,9:41,10:08,yes,10,27
F3,pat,21,0.4,a,3,6/08/2019,9:31,,,no,,
F3,pat,21,0.4,b,4,6/08/2019,9:31,9:43,10:05,yes,12,22
F3,pat,21,0.4,a,5,6/08/2019,9:31,9:37,9:58,yes,6,21
F3,pat,21,0.4,b,6,6/08/2019,9:31,9:40,10:01,yes,9,21
F3,pat,21,0.4,a,7,6/08/2019,9:31,10:23,10:44,yes,52,21
F3,pat,21,0.4,b,8,6/08/2019,9:30,9:40,10:02,yes,10,22
F3,pat,21,0.4,a,9,6/08/2019,9:30,10:58,11:24,yes,88,26
F3,pat,21,0.4,b,10,6/08/2019,9:30,9:35,9:58,yes,5,23
F3,pat,21,0.4,a,11,6/08/2019,9:30,10:02,10:27,yes,32,25
F3,pat,21,0.4,b,12,6/08/2019,9:30,9:47,10:08,yes,17,21
F3,pat,21,0.4,a,13,6/08/2019,9:30,,,no,,
F3,pat,21,0.4,b,14,6/08/2019,9:30,9:49,10:08,yes,19,19
F3,pat,21,1.5,a,1,6/08/2019,9:26,9:33,9:56,yes,7,23
F3,pat,21,1.5,b,2,6/08/2019,9:26,10:05,10:27,yes,39,22
F3,pat,21,1.5,a,3,6/08/2019,9:26,,,no,,
F3,pat,21,1.5,b,4,6/08/2019,9:26,,,no,,
F3,pat,21,1.5,a,5,6/08/2019,9:26,,,no,,
F3,pat,21,1.5,b,6,6/08/2019,9:26,9:37,9:56,yes,11,19
F3,pat,21,1.5,a,7,6/08/2019,9:26,,,no,,
F3,pat,21,1.5,b,8,6/08/2019,9:28,11:01,11:26,yes,93,25
F3,pat,21,1.5,a,9,6/08/2019,9:28,9:42,10:04,yes,14,22
F3,pat,21,1.5,b,10,6/08/2019,9:28,9:48,10:07,yes,20,19
F3,pat,21,1.5,a,11,6/08/2019,9:28,9:45,10:03,yes,17,18
F3,pat,21,1.5,b,12,6/08/2019,9:28,9:43,10:09,yes,15,26
F3,pat,21,1.5,a,13,6/08/2019,9:28,9:38,10:01,yes,10,23
F3,pat,21,1.5,b,14,6/08/2019,9:28,10:15,10:38,yes,47,23
F3,pat,25,0.4,a,1,6/08/2019,9:41,10:43,11:10,yes,62,27
F3,pat,25,0.4,b,2,6/08/2019,9:41,9:51,10:09,yes,10,18
F3,pat,25,0.4,a,3,6/08/2019,9:41,10:00,10:24,yes,19,24
F3,pat,25,0.4,b,4,6/08/2019,9:41,10:06,10:24,yes,25,18
F3,pat,25,0.4,a,5,6/08/2019,9:41,9:48,10:09,yes,7,21
F3,pat,25,0.4,b,6,6/08/2019,9:41,9:51,10:15,yes,10,24
F3,pat,25,0.4,a,7,6/08/2019,9:41,10:00,10:20,yes,19,20
F3,pat,25,0.4,b,8,6/08/2019,9:43,9:58,10:23,yes,15,25
F3,pat,25,0.4,a,9,6/08/2019,9:43,10:24,10:46,yes,41,22
F3,pat,25,0.4,b,10,6/08/2019,9:43,10:40,10:54,yes,57,14
F3,pat,25,0.4,a,11,6/08/2019,9:43,10:00,10:22,yes,17,22
F3,pat,25,0.4,b,12,6/08/2019,9:43,9:49,10:06,yes,6,17
F3,pat,25,0.4,a,13,6/08/2019,9:43,10:31,10:51,yes,48,20
F3,pat,25,0.4,b,14,6/08/2019,9:43,10:15,10:34,yes,32,19
F3,pat,25,1.5,a,1,6/08/2019,8:58,9:07,9:27,yes,9,20
F3,pat,25,1.5,b,2,6/08/2019,8:58,9:07,9:27,yes,9,20
F3,pat,25,1.5,a,3,6/08/2019,8:58,9:25,9:41,yes,27,16
F3,pat,25,1.5,b,4,6/08/2019,8:58,9:07,9:28,yes,9,21
F3,pat,25,1.5,a,5,6/08/2019,8:58,9:07,9:27,yes,9,20
F3,pat,25,1.5,b,6,6/08/2019,8:58,9:12,9:27,yes,14,15
F3,pat,25,1.5,a,7,6/08/2019,8:58,9:46,10:10,yes,48,24
F3,pat,25,1.5,b,8,6/08/2019,8:57,9:07,9:29,yes,10,22
F3,pat,25,1.5,a,9,6/08/2019,8:57,9:07,9:28,yes,10,21
F3,pat,25,1.5,b,10,6/08/2019,8:57,10:31,10:56,yes,94,25
F3,pat,25,1.5,a,11,6/08/2019,8:57,9:09,9:35,yes,12,26
F3,pat,25,1.5,b,12,6/08/2019,8:57,9:07,9:28,yes,10,21
F3,pat,25,1.5,a,13,6/08/2019,8:57,9:32,9:56,yes,35,24
F3,pat,25,1.5,b,14,6/08/2019,8:57,9:07,9:32,yes,10,25
F3,pat,29,0.4,a,1,6/08/2019,9:37,9:57,10:27,yes,20,30
F3,pat,29,0.4,b,2,6/08/2019,9:37,9:54,10:13,yes,17,19
F3,pat,29,0.4,a,3,6/08/2019,9:37,9:49,10:05,yes,12,16
F3,pat,29,0.4,b,4,6/08/2019,9:37,9:45,10:08,yes,8,23
F3,pat,29,0.4,a,5,6/08/2019,9:37,9:45,10:05,yes,8,20
F3,pat,29,0.4,b,6,6/08/2019,9:37,11:50,12:09,yes,133,19
F3,pat,29,0.4,a,7,6/08/2019,9:37,11:52,12:14,yes,135,22
F3,pat,29,0.4,b,8,6/08/2019,9:37,10:35,11:03,yes,58,28
F3,pat,29,0.4,a,9,6/08/2019,9:37,10:00,10:15,yes,23,15
F3,pat,29,0.4,b,10,6/08/2019,9:37,11:33,12:00,yes,116,27
F3,pat,29,0.4,a,11,6/08/2019,9:37,10:17,10:35,yes,40,18
F3,pat,29,0.4,b,12,6/08/2019,9:37,9:51,10:16,yes,14,25
F3,pat,29,0.4,a,13,6/08/2019,9:37,9:45,10:08,yes,8,23
F3,pat,29,0.4,b,14,6/08/2019,9:37,10:00,10:20,yes,23,20
F3,pat,29,1.5,a,1,6/08/2019,9:33,9:41,10:02,yes,8,21
F3,pat,29,1.5,b,2,6/08/2019,9:33,,,no,,
F3,pat,29,1.5,a,3,6/08/2019,9:33,9:45,10:06,yes,12,21
F3,pat,29,1.5,b,4,6/08/2019,9:33,9:57,10:16,yes,24,19
F3,pat,29,1.5,a,5,6/08/2019,9:33,12:25,12:44,yes,172,19
F3,pat,29,1.5,b,6,6/08/2019,9:33,9:53,10:15,yes,20,22
F3,pat,29,1.5,a,7,6/08/2019,9:33,9:41,10:03,yes,8,22
F3,pat,29,1.5,b,8,6/08/2019,9:31,10:34,10:51,yes,63,17
F3,pat,29,1.5,a,9,6/08/2019,9:32,9:39,9:55,yes,7,16
F3,pat,29,1.5,b,10,6/08/2019,9:32,9:51,10:09,yes,19,18
F3,pat,29,1.5,a,11,6/08/2019,9:32,,,no,,
F3,pat,29,1.5,b,12,6/08/2019,9:32,9:42,10:00,yes,10,18
F3,pat,29,1.5,a,13,6/08/2019,9:32,9:55,10:15,yes,23,20
F3,pat,29,1.5,b,14,6/08/2019,9:32,9:42,10:00,yes,10,18
